[0,0,NORMAL]	[1,0,NORMAL]	[2,0,NORMAL]	[3,0,NORMAL]	[4,0,NORMAL]	[5,0,NORMAL]	[6,0,NORMAL]	[7,0,NORMAL]	[8,0,NORMAL]	[9,0,NORMAL]	[10,0,NORMAL]	[11,0,NORMAL]	[12,0,NORMAL]	[13,0,NORMAL]	[14,0,NORMAL]	[15,0,NORMAL]	[16,0,NORMAL]	[17,0,NORMAL]	[18,0,NORMAL]	[19,0,NORMAL]	[20,0,NORMAL]	[21,0,NORMAL]	[22,0,NORMAL]	[23,0,NORMAL]	[24,0,NORMAL]	[25,0,NORMAL]	[26,0,NORMAL]	[27,0,NORMAL]	[28,0,NORMAL]	[29,0,NORMAL]	[30,0,NORMAL]	[31,0,NORMAL]	[32,0,NORMAL]	[33,0,NORMAL]	[34,0,NORMAL]	[35,0,NORMAL]	[36,0,NORMAL]	[37,0,NORMAL]	[38,0,NORMAL]	[39,0,NORMAL]	[40,0,NORMAL]	[41,0,NORMAL]	[42,0,NORMAL]	[43,0,NORMAL]	[44,0,NORMAL]
[0,1,NORMAL]	[1,1,NORMAL]	[2,1,NORMAL]	[3,1,NORMAL]	[4,1,NORMAL]	[5,1,NORMAL]	[6,1,NORMAL]	[7,1,NORMAL]	[8,1,NORMAL]	[9,1,NORMAL]	[10,1,NORMAL]	[11,1,NORMAL]	[12,1,NORMAL]	[13,1,NORMAL]	[14,1,NORMAL]	[15,1,NORMAL]	[16,1,NORMAL]	[17,1,NORMAL]	[18,1,NORMAL]	[19,1,NORMAL]	[20,1,NORMAL]	[21,1,NORMAL]	[22,1,NORMAL]	[23,1,NORMAL]	[24,1,NORMAL]	[25,1,NORMAL]	[26,1,NORMAL]	[27,1,NORMAL]	[28,1,NORMAL]	[29,1,NORMAL]	[30,1,NORMAL]	[31,1,NORMAL]	[32,1,NORMAL]	[33,1,NORMAL]	[34,1,NORMAL]	[35,1,NORMAL]	[36,1,NORMAL]	[37,1,NORMAL]	[38,1,NORMAL]	[39,1,NORMAL]	[40,1,NORMAL]	[41,1,NORMAL]	[42,1,NORMAL]	[43,1,NORMAL]	[44,1,NORMAL]
[0,2,NORMAL]	[1,2,NORMAL]	[2,2,NORMAL]	[3,2,NORMAL]	[4,2,NORMAL]	[5,2,NORMAL]	[6,2,NORMAL]	[7,2,NORMAL]	[8,2,NORMAL]	[9,2,NORMAL]	[10,2,NORMAL]	[11,2,NORMAL]	[12,2,NORMAL]	[13,2,NORMAL]	[14,2,NORMAL]	[15,2,NORMAL]	[16,2,NORMAL]	[17,2,NORMAL]	[18,2,NORMAL]	[19,2,NORMAL]	[20,2,NORMAL]	[21,2,NORMAL]	[22,2,NORMAL]	[23,2,NORMAL]	[24,2,NORMAL]	[25,2,NORMAL]	[26,2,NORMAL]	[27,2,NORMAL]	[28,2,NORMAL]	[29,2,NORMAL]	[30,2,NORMAL]	[31,2,NORMAL]	[32,2,NORMAL]	[33,2,NORMAL]	[34,2,NORMAL]	[35,2,NORMAL]	[36,2,NORMAL]	[37,2,NORMAL]	[38,2,NORMAL]	[39,2,NORMAL]	[40,2,NORMAL]	[41,2,NORMAL]	[42,2,NORMAL]	[43,2,NORMAL]	[44,2,NORMAL]
[0,3,NORMAL]	[1,3,NORMAL]	[2,3,NORMAL]	[3,3,NORMAL]	[4,3,NORMAL]	[5,3,NORMAL]	[6,3,NORMAL]	[7,3,NORMAL]	[8,3,NORMAL]	[9,3,NORMAL]	[10,3,NORMAL]	[11,3,NORMAL]	[12,3,NORMAL]	[13,3,NORMAL]	[14,3,NORMAL]	[15,3,NORMAL]	[16,3,NORMAL]	[17,3,NORMAL]	[18,3,NORMAL]	[19,3,NORMAL]	[20,3,NORMAL]	[21,3,NORMAL]	[22,3,NORMAL]	[23,3,NORMAL]	[24,3,NORMAL]	[25,3,NORMAL]	[26,3,NORMAL]	[27,3,NORMAL]	[28,3,NORMAL]	[29,3,NORMAL]	[30,3,NORMAL]	[31,3,NORMAL]	[32,3,NORMAL]	[33,3,NORMAL]	[34,3,NORMAL]	[35,3,NORMAL]	[36,3,NORMAL]	[37,3,NORMAL]	[38,3,NORMAL]	[39,3,NORMAL]	[40,3,NORMAL]	[41,3,NORMAL]	[42,3,NORMAL]	[43,3,NORMAL]	[44,3,NORMAL]
[0,4,NORMAL]	[1,4,NORMAL]	[2,4,NORMAL]	[3,4,NORMAL]	[4,4,NORMAL]	[5,4,NORMAL]	[6,4,NORMAL]	[7,4,NORMAL]	[8,4,NORMAL]	[9,4,NORMAL]	[10,4,NORMAL]	[11,4,NORMAL]	[12,4,NORMAL]	[13,4,NORMAL]	[14,4,NORMAL]	[15,4,NORMAL]	[16,4,NORMAL]	[17,4,NORMAL]	[18,4,NORMAL]	[19,4,NORMAL]	[20,4,NORMAL]	[21,4,NORMAL]	[22,4,NORMAL]	[23,4,NORMAL]	[24,4,NORMAL]	[25,4,NORMAL]	[26,4,NORMAL]	[27,4,NORMAL]	[28,4,NORMAL]	[29,4,NORMAL]	[30,4,NORMAL]	[31,4,NORMAL]	[32,4,NORMAL]	[33,4,NORMAL]	[34,4,NORMAL]	[35,4,NORMAL]	[36,4,NORMAL]	[37,4,NORMAL]	[38,4,NORMAL]	[39,4,NORMAL]	[40,4,NORMAL]	[41,4,NORMAL]	[42,4,NORMAL]	[43,4,NORMAL]	[44,4,NORMAL]
[0,5,NORMAL]	[1,5,NORMAL]	[2,5,NORMAL]	[3,5,NORMAL]	[4,5,NORMAL]	[5,5,NORMAL]	[6,5,NORMAL]	[7,5,NORMAL]	[8,5,NORMAL]	[9,5,NORMAL]	[10,5,NORMAL]	[11,5,NORMAL]	[12,5,NORMAL]	[13,5,NORMAL]	[14,5,NORMAL]	[15,5,NORMAL]	[16,5,NORMAL]	[17,5,NORMAL]	[18,5,NORMAL]	[19,5,NORMAL]	[20,5,NORMAL]	[21,5,NORMAL]	[22,5,NORMAL]	[23,5,NORMAL]	[24,5,NORMAL]	[25,5,NORMAL]	[26,5,NORMAL]	[27,5,NORMAL]	[28,5,NORMAL]	[29,5,NORMAL]	[30,5,NORMAL]	[31,5,NORMAL]	[32,5,NORMAL]	[33,5,NORMAL]	[34,5,NORMAL]	[35,5,NORMAL]	[36,5,NORMAL]	[37,5,NORMAL]	[38,5,NORMAL]	[39,5,NORMAL]	[40,5,NORMAL]	[41,5,NORMAL]	[42,5,NORMAL]	[43,5,NORMAL]	[44,5,NORMAL]
[0,6,NORMAL]	[1,6,NORMAL]	[2,6,NORMAL]	[3,6,NORMAL]	[4,6,NORMAL]	[5,6,NORMAL]	[6,6,NORMAL]	[7,6,NORMAL]	[8,6,NORMAL]	[9,6,NORMAL]	[10,6,NORMAL]	[11,6,NORMAL]	[12,6,NORMAL]	[13,6,NORMAL]	[14,6,NORMAL]	[15,6,NORMAL]	[16,6,NORMAL]	[17,6,NORMAL]	[18,6,NORMAL]	[19,6,NORMAL]	[20,6,NORMAL]	[21,6,NORMAL]	[22,6,NORMAL]	[23,6,NORMAL]	[24,6,NORMAL]	[25,6,NORMAL]	[26,6,NORMAL]	[27,6,NORMAL]	[28,6,NORMAL]	[29,6,NORMAL]	[30,6,NORMAL]	[31,6,NORMAL]	[32,6,NORMAL]	[33,6,NORMAL]	[34,6,NORMAL]	[35,6,NORMAL]	[36,6,NORMAL]	[37,6,NORMAL]	[38,6,NORMAL]	[39,6,NORMAL]	[40,6,NORMAL]	[41,6,NORMAL]	[42,6,NORMAL]	[43,6,NORMAL]	[44,6,NORMAL]
[0,7,NORMAL]	[1,7,NORMAL]	[2,7,NORMAL]	[3,7,NORMAL]	[4,7,NORMAL]	[5,7,NORMAL]	[6,7,NORMAL]	[7,7,NORMAL]	[8,7,NORMAL]	[9,7,NORMAL]	[10,7,NORMAL]	[11,7,NORMAL]	[12,7,NORMAL]	[13,7,NORMAL]	[14,7,NORMAL]	[15,7,NORMAL]	[16,7,NORMAL]	[17,7,NORMAL]	[18,7,NORMAL]	[19,7,NORMAL]	[20,7,NORMAL]	[21,7,NORMAL]	[22,7,NORMAL]	[23,7,NORMAL]	[24,7,NORMAL]	[25,7,NORMAL]	[26,7,NORMAL]	[27,7,NORMAL]	[28,7,NORMAL]	[29,7,NORMAL]	[30,7,NORMAL]	[31,7,NORMAL]	[32,7,NORMAL]	[33,7,NORMAL]	[34,7,NORMAL]	[35,7,NORMAL]	[36,7,NORMAL]	[37,7,NORMAL]	[38,7,NORMAL]	[39,7,NORMAL]	[40,7,NORMAL]	[41,7,NORMAL]	[42,7,NORMAL]	[43,7,NORMAL]	[44,7,NORMAL]
[0,8,NORMAL]	[1,8,NORMAL]	[2,8,NORMAL]	[3,8,NORMAL]	[4,8,NORMAL]	[5,8,NORMAL]	[6,8,NORMAL]	[7,8,NORMAL]	[8,8,NORMAL]	[9,8,NORMAL]	[10,8,NORMAL]	[11,8,NORMAL]	[12,8,NORMAL]	[13,8,NORMAL]	[14,8,NORMAL]	[15,8,NORMAL]	[16,8,NORMAL]	[17,8,NORMAL]	[18,8,NORMAL]	[19,8,NORMAL]	[20,8,NORMAL]	[21,8,NORMAL]	[22,8,NORMAL]	[23,8,NORMAL]	[24,8,NORMAL]	[25,8,NORMAL]	[26,8,NORMAL]	[27,8,NORMAL]	[28,8,NORMAL]	[29,8,NORMAL]	[30,8,NORMAL]	[31,8,NORMAL]	[32,8,NORMAL]	[33,8,NORMAL]	[34,8,NORMAL]	[35,8,NORMAL]	[36,8,NORMAL]	[37,8,NORMAL]	[38,8,NORMAL]	[39,8,NORMAL]	[40,8,NORMAL]	[41,8,NORMAL]	[42,8,NORMAL]	[43,8,NORMAL]	[44,8,NORMAL]
[0,9,NORMAL]	[1,9,NORMAL]	[2,9,NORMAL]	[3,9,NORMAL]	[4,9,NORMAL]	[5,9,NORMAL]	[6,9,NORMAL]	[7,9,NORMAL]	[8,9,NORMAL]	[9,9,NORMAL]	[10,9,NORMAL]	[11,9,NORMAL]	[12,9,NORMAL]	[13,9,NORMAL]	[14,9,NORMAL]	[15,9,NORMAL]	[16,9,NORMAL]	[17,9,NORMAL]	[18,9,NORMAL]	[19,9,NORMAL]	[20,9,NORMAL]	[21,9,NORMAL]	[22,9,NORMAL]	[23,9,NORMAL]	[24,9,NORMAL]	[25,9,NORMAL]	[26,9,NORMAL]	[27,9,NORMAL]	[28,9,NORMAL]	[29,9,NORMAL]	[30,9,NORMAL]	[31,9,NORMAL]	[32,9,NORMAL]	[33,9,NORMAL]	[34,9,NORMAL]	[35,9,NORMAL]	[36,9,NORMAL]	[37,9,NORMAL]	[38,9,NORMAL]	[39,9,NORMAL]	[40,9,NORMAL]	[41,9,NORMAL]	[42,9,NORMAL]	[43,9,NORMAL]	[44,9,NORMAL]
[0,10,NORMAL]	[1,10,NORMAL]	[2,10,NORMAL]	[3,10,NORMAL]	[4,10,NORMAL]	[5,10,NORMAL]	[6,10,NORMAL]	[7,10,NORMAL]	[8,10,NORMAL]	[9,10,NORMAL]	[10,10,NORMAL]	[11,10,NORMAL]	[12,10,NORMAL]	[13,10,NORMAL]	[14,10,NORMAL]	[15,10,NORMAL]	[16,10,NORMAL]	[17,10,NORMAL]	[18,10,NORMAL]	[19,10,NORMAL]	[20,10,NORMAL]	[21,10,NORMAL]	[22,10,NORMAL]	[23,10,NORMAL]	[24,10,NORMAL]	[25,10,NORMAL]	[26,10,NORMAL]	[27,10,NORMAL]	[28,10,NORMAL]	[29,10,NORMAL]	[30,10,NORMAL]	[31,10,NORMAL]	[32,10,NORMAL]	[33,10,NORMAL]	[34,10,NORMAL]	[35,10,NORMAL]	[36,10,NORMAL]	[37,10,NORMAL]	[38,10,NORMAL]	[39,10,NORMAL]	[40,10,NORMAL]	[41,10,NORMAL]	[42,10,NORMAL]	[43,10,NORMAL]	[44,10,NORMAL]
