[0,0,START]	[1,0,NORMAL]	[2,0,NORMAL]	[3,0,NORMAL]	[4,0,NORMAL]	[5,0,NORMAL]	[6,0,NORMAL]	[7,0,NORMAL]	[8,0,NORMAL]	[9,0,NORMAL]	[10,0,NORMAL]	[11,0,NORMAL]	[12,0,NORMAL]	[13,0,NORMAL]	[14,0,NORMAL]	[15,0,NORMAL]	[16,0,NORMAL]	[17,0,NORMAL]	[18,0,NORMAL]	[19,0,NORMAL]	[20,0,NORMAL]	[21,0,NORMAL]	[22,0,NORMAL]	[23,0,NORMAL]	[24,0,NORMAL]	[25,0,NORMAL]	[26,0,NORMAL]	[27,0,NORMAL]	[28,0,NORMAL]	[29,0,NORMAL]	[30,0,NORMAL]	[31,0,NORMAL]	[32,0,NORMAL]	[33,0,NORMAL]	[34,0,NORMAL]	[35,0,NORMAL]	[36,0,NORMAL]	[37,0,NORMAL]	[38,0,NORMAL]	[39,0,NORMAL]	[40,0,NORMAL]	[41,0,NORMAL]	[42,0,NORMAL]	[43,0,NORMAL]	[44,0,NORMAL]
[0,1,BLOCKED]	[1,1,BLOCKED]	[2,1,NORMAL]	[3,1,BLOCKED]	[4,1,BLOCKED]	[5,1,BLOCKED]	[6,1,BLOCKED]	[7,1,BLOCKED]	[8,1,NORMAL]	[9,1,BLOCKED]	[10,1,NORMAL]	[11,1,BLOCKED]	[12,1,BLOCKED]	[13,1,BLOCKED]	[14,1,NORMAL]	[15,1,BLOCKED]	[16,1,BLOCKED]	[17,1,BLOCKED]	[18,1,BLOCKED]	[19,1,BLOCKED]	[20,1,NORMAL]	[21,1,BLOCKED]	[22,1,NORMAL]	[23,1,BLOCKED]	[24,1,NORMAL]	[25,1,BLOCKED]	[26,1,BLOCKED]	[27,1,BLOCKED]	[28,1,NORMAL]	[29,1,BLOCKED]	[30,1,BLOCKED]	[31,1,BLOCKED]	[32,1,BLOCKED]	[33,1,BLOCKED]	[34,1,NORMAL]	[35,1,BLOCKED]	[36,1,BLOCKED]	[37,1,BLOCKED]	[38,1,BLOCKED]	[39,1,BLOCKED]	[40,1,BLOCKED]	[41,1,BLOCKED]	[42,1,BLOCKED]	[43,1,BLOCKED]	[44,1,NORMAL]
[0,2,NORMAL]	[1,2,BLOCKED]	[2,2,NORMAL]	[3,2,NORMAL]	[4,2,NORMAL]	[5,2,NORMAL]	[6,2,NORMAL]	[7,2,NORMAL]	[8,2,NORMAL]	[9,2,BLOCKED]	[10,2,NORMAL]	[11,2,NORMAL]	[12,2,NORMAL]	[13,2,BLOCKED]	[14,2,NORMAL]	[15,2,NORMAL]	[16,2,NORMAL]	[17,2,BLOCKED]	[18,2,NORMAL]	[19,2,NORMAL]	[20,2,NORMAL]	[21,2,NORMAL]	[22,2,NORMAL]	[23,2,BLOCKED]	[24,2,NORMAL]	[25,2,NORMAL]	[26,2,NORMAL]	[27,2,NORMAL]	[28,2,NORMAL]	[29,2,BLOCKED]	[30,2,NORMAL]	[31,2,NORMAL]	[32,2,NORMAL]	[33,2,NORMAL]	[34,2,NORMAL]	[35,2,NORMAL]	[36,2,NORMAL]	[37,2,NORMAL]	[38,2,NORMAL]	[39,2,NORMAL]	[40,2,NORMAL]	[41,2,NORMAL]	[42,2,NORMAL]	[43,2,NORMAL]	[44,2,NORMAL]
[0,3,NORMAL]	[1,3,BLOCKED]	[2,3,BLOCKED]	[3,3,BLOCKED]	[4,3,BLOCKED]	[5,3,BLOCKED]	[6,3,BLOCKED]	[7,3,BLOCKED]	[8,3,BLOCKED]	[9,3,BLOCKED]	[10,3,BLOCKED]	[11,3,BLOCKED]	[12,3,NORMAL]	[13,3,BLOCKED]	[14,3,BLOCKED]	[15,3,BLOCKED]	[16,3,NORMAL]	[17,3,BLOCKED]	[18,3,BLOCKED]	[19,3,BLOCKED]	[20,3,BLOCKED]	[21,3,BLOCKED]	[22,3,BLOCKED]	[23,3,BLOCKED]	[24,3,BLOCKED]	[25,3,BLOCKED]	[26,3,BLOCKED]	[27,3,BLOCKED]	[28,3,BLOCKED]	[29,3,BLOCKED]	[30,3,NORMAL]	[31,3,BLOCKED]	[32,3,BLOCKED]	[33,3,BLOCKED]	[34,3,BLOCKED]	[35,3,BLOCKED]	[36,3,BLOCKED]	[37,3,BLOCKED]	[38,3,BLOCKED]	[39,3,BLOCKED]	[40,3,BLOCKED]	[41,3,BLOCKED]	[42,3,BLOCKED]	[43,3,BLOCKED]	[44,3,NORMAL]
[0,4,NORMAL]	[1,4,BLOCKED]	[2,4,NORMAL]	[3,4,NORMAL]	[4,4,NORMAL]	[5,4,NORMAL]	[6,4,NORMAL]	[7,4,NORMAL]	[8,4,NORMAL]	[9,4,BLOCKED]	[10,4,NORMAL]	[11,4,NORMAL]	[12,4,NORMAL]	[13,4,BLOCKED]	[14,4,NORMAL]	[15,4,NORMAL]	[16,4,NORMAL]	[17,4,BLOCKED]	[18,4,NORMAL]	[19,4,NORMAL]	[20,4,NORMAL]	[21,4,NORMAL]	[22,4,NORMAL]	[23,4,NORMAL]	[24,4,NORMAL]	[25,4,NORMAL]	[26,4,NORMAL]	[27,4,BLOCKED]	[28,4,NORMAL]	[29,4,NORMAL]	[30,4,NORMAL]	[31,4,BLOCKED]	[32,4,NORMAL]	[33,4,NORMAL]	[34,4,NORMAL]	[35,4,BLOCKED]	[36,4,NORMAL]	[37,4,NORMAL]	[38,4,NORMAL]	[39,4,NORMAL]	[40,4,NORMAL]	[41,4,NORMAL]	[42,4,NORMAL]	[43,4,NORMAL]	[44,4,NORMAL]
[0,5,NORMAL]	[1,5,BLOCKED]	[2,5,NORMAL]	[3,5,BLOCKED]	[4,5,BLOCKED]	[5,5,BLOCKED]	[6,5,BLOCKED]	[7,5,BLOCKED]	[8,5,NORMAL]	[9,5,BLOCKED]	[10,5,NORMAL]	[11,5,BLOCKED]	[12,5,BLOCKED]	[13,5,BLOCKED]	[14,5,NORMAL]	[15,5,BLOCKED]	[16,5,BLOCKED]	[17,5,BLOCKED]	[18,5,NORMAL]	[19,5,BLOCKED]	[20,5,BLOCKED]	[21,5,BLOCKED]	[22,5,BLOCKED]	[23,5,BLOCKED]	[24,5,BLOCKED]	[25,5,BLOCKED]	[26,5,NORMAL]	[27,5,BLOCKED]	[28,5,BLOCKED]	[29,5,BLOCKED]	[30,5,BLOCKED]	[31,5,BLOCKED]	[32,5,NORMAL]	[33,5,BLOCKED]	[34,5,NORMAL]	[35,5,BLOCKED]	[36,5,NORMAL]	[37,5,BLOCKED]	[38,5,BLOCKED]	[39,5,BLOCKED]	[40,5,BLOCKED]	[41,5,BLOCKED]	[42,5,BLOCKED]	[43,5,BLOCKED]	[44,5,NORMAL]
[0,6,NORMAL]	[1,6,NORMAL]	[2,6,NORMAL]	[3,6,BLOCKED]	[4,6,NORMAL]	[5,6,NORMAL]	[6,6,NORMAL]	[7,6,NORMAL]	[8,6,NORMAL]	[9,6,BLOCKED]	[10,6,NORMAL]	[11,6,NORMAL]	[12,6,NORMAL]	[13,6,BLOCKED]	[14,6,NORMAL]	[15,6,NORMAL]	[16,6,NORMAL]	[17,6,BLOCKED]	[18,6,NORMAL]	[19,6,NORMAL]	[20,6,NORMAL]	[21,6,NORMAL]	[22,6,NORMAL]	[23,6,NORMAL]	[24,6,NORMAL]	[25,6,BLOCKED]	[26,6,NORMAL]	[27,6,NORMAL]	[28,6,NORMAL]	[29,6,NORMAL]	[30,6,NORMAL]	[31,6,BLOCKED]	[32,6,NORMAL]	[33,6,BLOCKED]	[34,6,NORMAL]	[35,6,NORMAL]	[36,6,NORMAL]	[37,6,BLOCKED]	[38,6,NORMAL]	[39,6,NORMAL]	[40,6,NORMAL]	[41,6,NORMAL]	[42,6,NORMAL]	[43,6,BLOCKED]	[44,6,NORMAL]
[0,7,NORMAL]	[1,7,BLOCKED]	[2,7,BLOCKED]	[3,7,BLOCKED]	[4,7,NORMAL]	[5,7,BLOCKED]	[6,7,BLOCKED]	[7,7,BLOCKED]	[8,7,BLOCKED]	[9,7,BLOCKED]	[10,7,BLOCKED]	[11,7,BLOCKED]	[12,7,NORMAL]	[13,7,BLOCKED]	[14,7,BLOCKED]	[15,7,BLOCKED]	[16,7,NORMAL]	[17,7,BLOCKED]	[18,7,BLOCKED]	[19,7,BLOCKED]	[20,7,BLOCKED]	[21,7,BLOCKED]	[22,7,BLOCKED]	[23,7,BLOCKED]	[24,7,NORMAL]	[25,7,BLOCKED]	[26,7,BLOCKED]	[27,7,BLOCKED]	[28,7,BLOCKED]	[29,7,BLOCKED]	[30,7,NORMAL]	[31,7,BLOCKED]	[32,7,NORMAL]	[33,7,BLOCKED]	[34,7,BLOCKED]	[35,7,BLOCKED]	[36,7,BLOCKED]	[37,7,BLOCKED]	[38,7,BLOCKED]	[39,7,BLOCKED]	[40,7,BLOCKED]	[41,7,BLOCKED]	[42,7,NORMAL]	[43,7,BLOCKED]	[44,7,NORMAL]
[0,8,NORMAL]	[1,8,BLOCKED]	[2,8,NORMAL]	[3,8,BLOCKED]	[4,8,NORMAL]	[5,8,BLOCKED]	[6,8,NORMAL]	[7,8,NORMAL]	[8,8,NORMAL]	[9,8,NORMAL]	[10,8,NORMAL]	[11,8,BLOCKED]	[12,8,NORMAL]	[13,8,NORMAL]	[14,8,NORMAL]	[15,8,BLOCKED]	[16,8,NORMAL]	[17,8,NORMAL]	[18,8,NORMAL]	[19,8,NORMAL]	[20,8,NORMAL]	[21,8,BLOCKED]	[22,8,NORMAL]	[23,8,NORMAL]	[24,8,NORMAL]	[25,8,BLOCKED]	[26,8,NORMAL]	[27,8,NORMAL]	[28,8,NORMAL]	[29,8,BLOCKED]	[30,8,NORMAL]	[31,8,BLOCKED]	[32,8,NORMAL]	[33,8,NORMAL]	[34,8,NORMAL]	[35,8,NORMAL]	[36,8,NORMAL]	[37,8,NORMAL]	[38,8,NORMAL]	[39,8,NORMAL]	[40,8,NORMAL]	[41,8,NORMAL]	[42,8,NORMAL]	[43,8,BLOCKED]	[44,8,NORMAL]
[0,9,NORMAL]	[1,9,BLOCKED]	[2,9,NORMAL]	[3,9,BLOCKED]	[4,9,NORMAL]	[5,9,BLOCKED]	[6,9,NORMAL]	[7,9,BLOCKED]	[8,9,BLOCKED]	[9,9,BLOCKED]	[10,9,NORMAL]	[11,9,BLOCKED]	[12,9,BLOCKED]	[13,9,BLOCKED]	[14,9,NORMAL]	[15,9,BLOCKED]	[16,9,NORMAL]	[17,9,BLOCKED]	[18,9,BLOCKED]	[19,9,BLOCKED]	[20,9,NORMAL]	[21,9,BLOCKED]	[22,9,NORMAL]	[23,9,BLOCKED]	[24,9,BLOCKED]	[25,9,BLOCKED]	[26,9,BLOCKED]	[27,9,BLOCKED]	[28,9,NORMAL]	[29,9,BLOCKED]	[30,9,NORMAL]	[31,9,BLOCKED]	[32,9,BLOCKED]	[33,9,BLOCKED]	[34,9,NORMAL]	[35,9,BLOCKED]	[36,9,BLOCKED]	[37,9,BLOCKED]	[38,9,BLOCKED]	[39,9,BLOCKED]	[40,9,BLOCKED]	[41,9,BLOCKED]	[42,9,BLOCKED]	[43,9,BLOCKED]	[44,9,NORMAL]
[0,10,NORMAL]	[1,10,BLOCKED]	[2,10,NORMAL]	[3,10,BLOCKED]	[4,10,NORMAL]	[5,10,NORMAL]	[6,10,NORMAL]	[7,10,BLOCKED]	[8,10,NORMAL]	[9,10,NORMAL]	[10,10,NORMAL]	[11,10,BLOCKED]	[12,10,NORMAL]	[13,10,BLOCKED]	[14,10,NORMAL]	[15,10,BLOCKED]	[16,10,NORMAL]	[17,10,BLOCKED]	[18,10,NORMAL]	[19,10,NORMAL]	[20,10,NORMAL]	[21,10,BLOCKED]	[22,10,NORMAL]	[23,10,NORMAL]	[24,10,NORMAL]	[25,10,NORMAL]	[26,10,NORMAL]	[27,10,NORMAL]	[28,10,NORMAL]	[29,10,BLOCKED]	[30,10,NORMAL]	[31,10,NORMAL]	[32,10,NORMAL]	[33,10,BLOCKED]	[34,10,NORMAL]	[35,10,BLOCKED]	[36,10,NORMAL]	[37,10,NORMAL]	[38,10,NORMAL]	[39,10,NORMAL]	[40,10,NORMAL]	[41,10,NORMAL]	[42,10,NORMAL]	[43,10,NORMAL]	[44,10,NORMAL]
